"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Malta,118815,,839.0,,117412.0,,564.0,4,"267,581","1,889","2,140,075","4,819,631","444,033",Europe,4,529,0,,,"1,270"
Barbados,107794,,593.0,,106971.0,,230.0,,"374,255","2,059","801,451","2,782,594","288,023",North America,3,486,0,,,799
Angola,105384,,1934.0,,103419.0,,31.0,,"3,009",55,"1,499,795","42,818","35,027,343",Africa,332,"18,111",23,,,0.9
Channel Islands,101717,,228.0,,101321.0,,168.0,,"576,421","1,292","1,252,808","7,099,551","176,463",Europe,2,774,0,,,952
French Guiana,98041,,420.0,,11254.0,,86367.0,6,"312,065","1,337","651,257","2,072,951","314,169",South America,3,748,0,,,"274,906"
DRC,96652,,1467.0,,84489.0,,10696.0,,"1,015",15,"846,704","8,890","95,240,792",Africa,985,"64,922",112,,,112
Senegal,88997,,1971.0,,87024.0,,2.0,,"5,041",112,"1,146,543","64,946","17,653,671",Africa,198,"8,957",15,,,0.1
Malawi,88728,,2686.0,,85651.0,,391.0,67,"4,397",133,"624,784","30,959","20,180,839",Africa,227,"7,513",32,,,19
Ivory Coast,88331,,835.0,,87497.0,,-1.0,,"3,184",30,"1,690,934","60,951","27,742,298",Africa,314,"33,224",16,,,-0.04
New Caledonia,79922,,314.0,,79605.0,,3.0,9,"274,726","1,079","98,964","340,182","290,915",Australia/Oceania,4,926,3,,,10
Eswatini,74670,,1425.0,,73116.0,,129.0,,"63,022","1,203","1,048,704","885,119","1,184,817",Africa,16,831,1,,,109
Guyana,73265,,1298.0,,71936.0,,31.0,,"92,268","1,635","731,857","921,682","794,045",South America,11,612,1,,,39
Belize,70782,,688.0,,70085.0,,9.0,6,"171,722","1,669","576,016","1,397,453","412,190",North America,6,599,1,,,22
Fiji,68921,,883.0,,67029.0,,1009.0,,"75,782",971,"670,903","737,689","909,466",Australia/Oceania,13,"1,030",1,,,"1,109"
Madagascar,68289,,1425.0,,66862.0,,2.0,,"2,340",49,"531,329","18,210","29,178,077",Africa,427,"20,476",55,,,0.07
Sudan,63993,,5046.0,,58708.0,+12,239.0,,"1,391",110,"562,941","12,240","45,992,020",Africa,719,"9,115",82,,,5
Cabo Verde,63967,,414.0,,63473.0,,80.0,23,"112,682",729,"401,622","707,482","567,678",Africa,9,"1,371",1,,,141
Mauritania,63715,,997.0,,62471.0,,247.0,,"12,998",203,"1,009,957","206,030","4,901,981",Africa,77,"4,917",5,,,50
Bhutan,62671,,21.0,,61564.0,,1086.0,,"79,538",27,"2,303,734","2,923,739","787,941",Asia,13,"37,521",0,,,"1,378"
Syria,57608,,3164.0,,54370.0,,74.0,,"2,975",163,"146,269","7,553","19,364,809",Asia,336,"6,120",132,,,4
Burundi,53762,,38.0,,53569.0,,155.0,,"4,258",3,"345,742","27,386","12,624,840",Africa,235,"332,233",37,,,12
Seychelles,50937,,172.0,,50750.0,,15.0,,"512,311","1,730",,,"99,426",Africa,2,578,,,,151
